Srno,No. of Instances,OS with version,Machine Class,Machine Family,Series,Machine Type,vCPUs,RAM,BootDisk Capacity,Gpu no,Gpu Type,WorkStation,Datacenter Location,Avg no. of hrs,Hrs/Min,Days/Month,Zonal/Regional,HDD,SSD,Balanced SSD,Snapshot
1,1.0,free,,,e2,micro,,,,,,,,asia-south1,,,,,,,
2,1.0,free,,,e2,micro,,,,,,,,asia-south1,625,hours,month,,,,
3,1.0,free,,,e2,small,,,,,,,,asia-south1,,,,,,,
4,1.0,free,,,e2,medium,,,,,,,,asia-south1,,,,,,,
5,13.1,free,,,e2,medium,,,,,,,,asia-south1,,,,,,,
6,1.0,free,,,e2,small,,,,,,,,asia-south1,717,hours,month,,,,
10,1.3,free,,,n2d,STANDARD,2,8,,,,,,asia-south1,,,,,,,
13,2.0,free,,,n2d,STANDARD,4,16,,,,,,asia-south1,,,,,,,
14,50.1,free,,,n2d,STANDARD,4,16,,,,,,asia-south1,,,,,,,
15,1.0,free,,,e2,STANDARD,2,7.5,,,,,,asia-south1,1,hours,month,,,,
16,1.0,free,,,n2d,STANDARD,4,16,,,,,,asia-south1,94,hours,month,,,,
17,1.0,free,,,n2d,HIGHMEM,4,32,,,,,,asia-south1,432,hours,month,,,,